"jd","magnitude","uncertainty","h_quncertainty","band","observer_code","comment_code_s","comp_star_1","comp_star_2","charts","comments","transfomed","airmass","validation_flag","cmag","kmag","hjd","star_name","observer_affiliation","measurement_method","grouping_method","ads_reference","digitizer","credit"
2425557.63,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425562.6,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425565.66,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425568.65,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425569.66,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425572.6,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425575.68,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425585.64,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425587.67,"0.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425594.63,"0.2",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425597.4,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425608.61,"0.2",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425611.34,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425617.4,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425627.3,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425633.3,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425644.29,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425652.26,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
